Архангельская,"0,8",19310
Астраханская,"9,5",12610
Белгородская,"6,4",19569
Брянская,"5,1",9345
Владимирская,"3,9",11666
Волгоградская,"8,2",13200
Вологодская,"2,3",14327
Воронежская,"5,6",11036
Ивановская,"3,3",7425
Калужская,"4,4",14500
Кировская,"1,6",9634
Костромская,"3,1",10941
Краснодарский,"11,1",13899
Курская,"5,5",12860
Ленинградская,"4,4",21549
Липецкая,"5,1",17902
Московская  ,"4,1",17255
Мурманская,"0,2",15555
Нижегородская,"3,6",14709
Новгородская,4,16397
Оренбургская,4,19507
Орловская,"4,9",11214
Пензенская,"4,2",10764
Псковская,"4,8",9877
Ростовская,"8,9",11302
Рязанская,"4,3",11510
Самарская,"4,2",14520
Саратовская,"5,3",12812
Смоленская,"4,3",11845
Ставропольский,"9,1",8725
Тамбовская,5,11469
Тверская,5,12228
Тульская,"4,7",7578
Ульяновская,"3,2",11794
Ярославская,"3,2",14760
